GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Flensburg,Schleswig-Holstein,96,2023-02-20,91113,40801,63,69.1,0.4478065698637955,0.0023528835077571628
Kiel,Schleswig-Holstein,322,2023-02-20,246243,102409,186,75.5,0.415885933813347,0.0031442548994717262
Lübeck,Schleswig-Holstein,166,2023-02-20,216277,91534,77,35.6,0.42322577065522454,0.0018135337688727686
Neumünster,Schleswig-Holstein,129,2023-02-20,79496,31445,51,64.2,0.39555449330783937,0.0041024010176498645
Dithmarschen,Schleswig-Holstein,126,2023-02-20,133969,53768,67,50.0,0.40134658017899666,0.0023434012795714924
Herzogtum Lauenburg,Schleswig-Holstein,214,2023-02-20,200819,76299,79,39.3,0.37993914918409116,0.002804754977129451
Nordfriesland,Schleswig-Holstein,213,2023-02-20,167560,72415,140,83.6,0.43217354977321554,0.0029413795484360974
Ostholstein,Schleswig-Holstein,138,2023-02-20,202014,73304,61,30.2,0.3628659399843575,0.0018825712103023027
Pinneberg,Schleswig-Holstein,678,2023-02-20,318326,125499,159,49.9,0.3942467784598179,0.005402433485525781
Plön,Schleswig-Holstein,79,2023-02-20,129687,47069,84,64.8,0.36294308604563297,0.001678387048800697
Rendsburg-Eckernförde,Schleswig-Holstein,148,2023-02-20,276053,112008,249,90.2,0.4057481715467682,0.0013213341904149704
Schleswig-Flensburg,Schleswig-Holstein,186,2023-02-20,203799,79484,155,76.1,0.39001172724105615,0.00234009360374415
Segeberg,Schleswig-Holstein,416,2023-02-20,280400,123556,181,64.6,0.440641940085592,0.003366894363689339
Steinburg,Schleswig-Holstein,77,2023-02-20,130843,52428,121,92.5,0.40069396146526753,0.0014686808575570306
Stormarn,Schleswig-Holstein,468,2023-02-20,245406,89171,70,28.5,0.3633611240148978,0.005248343071177849
Hamburg,Hamburg,3592,2023-02-20,1853935,804589,858,46.3,0.43398986480108526,0.004464391136344146
Braunschweig,Niedersachsen,476,2023-02-20,248823,109985,281,112.9,0.44202103503293505,0.004327862890394145
Salzgitter,Niedersachsen,211,2023-02-20,103694,51571,152,146.6,0.49733832237159337,0.004091446743324737
Wolfsburg,Niedersachsen,245,2023-02-20,123949,59030,97,78.3,0.4762442617528177,0.004150431983737083
Gifhorn,Niedersachsen,517,2023-02-20,177919,82634,209,117.5,0.4644473046723509,0.006256504586489822
Goslar,Niedersachsen,317,2023-02-20,134050,57091,131,97.7,0.425893323386796,0.005552538929078138
Helmstedt,Niedersachsen,178,2023-02-20,91379,40800,80,87.5,0.4464920824259403,0.004362745098039216
Northeim,Niedersachsen,267,2023-02-20,131765,62965,192,145.7,0.4778583083519903,0.004240451044230922
Peine,Niedersachsen,203,2023-02-20,136960,69883,123,89.8,0.51024386682243,0.0029048552580742096
Wolfenbüttel,Niedersachsen,211,2023-02-20,119224,55583,144,120.8,0.4662064684962759,0.0037961247143910907
Göttingen,Niedersachsen,517,2023-02-20,323661,154114,430,132.9,0.4761586969081848,0.0033546595377447865
Region Hannover,Niedersachsen,2257,2023-02-20,1157541,530454,1454,125.6,0.45825936187141536,0.004254845849027437
Diepholz,Niedersachsen,193,2023-02-20,218839,104291,182,83.2,0.4765649632835098,0.001850591134421954
Hameln-Pyrmont,Niedersachsen,210,2023-02-20,148963,69112,198,132.9,0.4639541362620248,0.003038546128024077
Hildesheim,Niedersachsen,724,2023-02-20,274773,130496,377,137.2,0.4749229363874908,0.005548062775870524
Holzminden,Niedersachsen,199,2023-02-20,69862,31453,86,123.1,0.4502161403910567,0.006326900454646615
Nienburg (Weser),Niedersachsen,264,2023-02-20,121773,57486,189,155.2,0.4720750905373112,0.004592422502870264
Schaumburg,Niedersachsen,294,2023-02-20,158108,79281,224,141.7,0.5014357274774205,0.00370832860332236
Celle,Niedersachsen,239,2023-02-20,179915,81535,183,101.7,0.45318622682933607,0.002931256515606795
Cuxhaven,Niedersachsen,317,2023-02-20,199603,90189,205,102.7,0.4518419061837748,0.0035148410560046127
Harburg,Niedersachsen,301,2023-02-20,257548,119163,189,73.4,0.46268268439281224,0.0025259518474694325
Lüchow-Dannenberg,Niedersachsen,66,2023-02-20,48472,21457,44,90.8,0.4426679320019805,0.0030759192804213076
Lüneburg,Niedersachsen,238,2023-02-20,185129,85170,133,71.8,0.4600575814702181,0.0027944111776447107
Osterholz,Niedersachsen,116,2023-02-20,115054,52584,82,71.3,0.4570375649694926,0.0022059942187737714
Rotenburg (Wümme),Niedersachsen,291,2023-02-20,165001,75610,88,53.3,0.45823964703244224,0.003848697262266896
Heidekreis,Niedersachsen,260,2023-02-20,142912,61867,156,109.2,0.4329027653381102,0.004202563563773902
Stade,Niedersachsen,340,2023-02-20,206496,99171,150,72.6,0.4802562761506276,0.0034284216151899247
Uelzen,Niedersachsen,288,2023-02-20,92894,44110,93,100.1,0.4748422933666329,0.0065291317161641355
Verden,Niedersachsen,213,2023-02-20,138507,64460,113,81.6,0.46539164085569684,0.003304374806081291
Delmenhorst,Niedersachsen,132,2023-02-20,77522,37046,110,141.9,0.47787724774902607,0.0035631377206715976
Emden,Niedersachsen,45,2023-02-20,49523,22295,25,50.5,0.45019485895442524,0.002018389773491814
Oldenburg (Oldb),Niedersachsen,72,2023-02-20,170389,78796,152,89.2,0.46244769321963275,0.0009137519671049292
Osnabrück,Niedersachsen,202,2023-02-20,165034,80842,204,123.6,0.489850576244895,0.0024987011701838153
Wilhelmshaven,Niedersachsen,232,2023-02-20,75027,33342,68,90.6,0.44440001599424206,0.006958190870373703
Ammerland,Niedersachsen,107,2023-02-20,126475,58229,119,94.1,0.4603992883969164,0.001837572343677549
Aurich,Niedersachsen,219,2023-02-20,190425,89060,124,65.1,0.467690691873441,0.002459016393442623
Cloppenburg,Niedersachsen,331,2023-02-20,173980,99200,192,110.4,0.5701804805150017,0.003336693548387097
Emsland,Niedersachsen,465,2023-02-20,331397,193385,556,167.8,0.5835448118118148,0.0024045298239263645
Friesland,Niedersachsen,85,2023-02-20,98971,42281,64,64.7,0.42720594921744753,0.0020103592630259454
Grafschaft Bentheim,Niedersachsen,225,2023-02-20,138722,75763,125,90.1,0.5461498536641629,0.002969787363224793
Leer,Niedersachsen,211,2023-02-20,172421,71989,102,59.2,0.41751874771634545,0.0029310033477336814
Oldenburg,Niedersachsen,190,2023-02-20,132091,67946,173,131.0,0.5143878084048118,0.0027963382686250846
Osnabrück,Niedersachsen,549,2023-02-20,361550,189544,434,120.0,0.5242539067902088,0.0028964251044612333
Vechta,Niedersachsen,135,2023-02-20,144805,90085,175,120.9,0.6221124961154656,0.0014985846700338568
Wesermarsch,Niedersachsen,194,2023-02-20,88430,39329,49,55.4,0.444747257717969,0.004932746828040378
Wittmund,Niedersachsen,92,2023-02-20,57455,28532,52,90.5,0.49659733704638415,0.003224449740642086
Bremen,Bremen,716,2023-02-20,563290,248384,591,104.9,0.4409522626000817,0.002882633341922185
Bremerhaven,Bremen,245,2023-02-20,113173,53610,55,48.6,0.47369955731490726,0.004570042902443574
Düsseldorf,Nordrhein-Westfalen,1047,2023-02-20,619477,274551,728,117.5,0.44319805255078076,0.003813499131308937
