;title;preis;Bildschirmdiagonale (cm/Zoll);Bildschirmauflösung;Touchscreen;Bildqualität;Bildschirmdiagonale (cm);Bildschirmdiagonale (Zoll);Bildverhältnis;Paneltyp;Bildschirmmerkmale;Arbeitsspeicher-Typ;Arbeitsspeicher-Größe;Arbeitsspeicher-Konfiguration;Prozessor;Prozessor-Marke;Prozessor-Modell;Prozessor-Nummer;Prozessor-Taktfrequenz;Anzahl Prozessorkerne;Anzahl Threads;Prozessor-Taktfrequenz mit Turbo;Helligkeit;Intel Optane;Grafikkarte;Grafikkarte Hersteller;Festplatte 1;Festplattentyp 1.Festplatte;Bildschirmtyp;Cache-Speicher Typ;Speichergeschwindigkeit;Cachegröße;Chipsatz;Gesamtanzahl Steckplätze;Interner Speicher;Festplattenkapazität 1. Festplatte;Bildschirmkontrast;Regulierbare Helligkeit;LED Hintergrundbeleuchtung;Anzahl installierter Festplatten;Touchscreen-Typ;SSD-Speicher;Grafikspeicher-Typ;Gesamter Speicherplatz in GB;Anschlüsse;Curved display;Grafikspeicher dediziert;max. unterstützter Speicher;Leistungsmerkmale;WLAN;Bluetooth;Betriebssystem;Integriertes Mikrofon;Tastaturbelegung;integrierte Webcam
"https://www.mediamarkt.de/de/product/_acer-aspire-5-a515-57-50aa-mit-tastaturbeleuchtung-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-intel-iris-xe-grafik-steel-gray-2839062.html
";"ACER Aspire 5 (A515-57-50AA) mit Tastaturbeleuchtung, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Grafik, Steel Gray
4.3 (4)| Art.-Nr. 2839062 | ACER";669.;39.62 cm / 15.6 Zoll;2.560 x 1.440 Pixel;Nein;WQHD;39.62 cm;15.6 Zoll;16:9;IPS (In-Plane Switching);Acer ComfyView QHD IPS Display mit LED-Backlight (matt) und 100% sRGB;DDR4;16 GB;2x 8 GB DDR4 RAM;Intel® Core™ i5-1235U Prozessor (12 MB Cache, bis zu 4,40 GHz);Intel®;Core™ i5;i5-1235U;3.30 GHz;10;12;4.40 GHz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_asus-vivobook-15-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intelr-uhd-graphics-slate-grey-2760150.html
";"ASUS Vivobook 15 (R565JA-EJ2498W), Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Slate Grey
4.0 (22)| Art.-Nr. 2760150 | ASUS";599.;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;;;;DDR4;8 GB;;Intel® Core™ i5 Prozessor 1035G1 (6 MB Cache, bis zu 3,60 GHz);Intel®;Core™ i5;i5-1035G1;1.00 GHz;4;;3.60 GHz;200 cd/m²;Intel® Optane™ Speichermodulkapazität 32 GB;Intel® UHD Graphics;Intel;SSD , 512 GB;SSD;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-akoyar-e15407-md61956-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-1-gb-ssd-intel-uhd-graphics-titan-grey-2752581.html
";"MEDION AKOYA® E15407 (MD61956), Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 1 TB SSD, Intel UHD Grafik, Titan Grey
4.5 (4)| Art.-Nr. 2752581 | MEDION";549.–;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);;DDR4;8 GB;1 x 8 GB;Intel® Core™ i5-1035G1 Prozessor (bis zu 3,60 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-1035G1;1.00 GHz;4;8;3.60 GHz;;;;;;;FHD AHVA;Intel® Cache;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-ideapad-3i-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intel-uhd-grafik-platinsilber-2793055.html
";"LENOVO IdeaPad 3i, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel UHD Grafik, Platinsilber
4.2 (17)| Art.-Nr. 2793055 | LENOVO";599.;39.6 cm / 15.6 Zoll;1920 x 1080;;Full-HD;39.6 cm;15.6 Zoll;16:9;;matt;DDR4;8 GB;2x 4 GB;Intel® Core™ i5-10210U Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-10210U;1.6 GHz;4;8;;220 cd/m²;;;;;;TN;;2666 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_acer-aspire-3-a317-53-5090-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intel-iris-xe-graphics-silber-2786845.html
";"ACER Aspire 3 (A317-53-5090), Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Silber
5.0 (1)| Art.-Nr. 2786845 | ACER";699.;43.94 cm / 17.3 Zoll;1.920 x 1.080;Nein;Full-HD;43.94 cm;17.3 Zoll;16:9;IPS (In-Plane Switching);Acer ComfyView Full HD IPS Display mit LED-Backlight (matt);DDR4;8 GB;2x 4 GB;Intel® Core™ i5-1135G7-Prozessor 8 MB Cache, bis zu 4,20 GHz;Intel®;Core™ i5;i5-1135G7;2.40 GHz;4;8;4.20 GHz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_acer-swift-3-sf314-511-54zk-mit-tastaturbeleuchtung-notebook-mit-14-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-intel-iris-xe-grafik-pure-silver-2770622.html
";"ACER Swift 3 (SF314-511-54ZK) mit Tastaturbeleuchtung, EVO, Notebook mit 14 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Grafik, Pure Silver
3.0 (2)| Art.-Nr. 2770622 | ACER";719.;35.56 cm / 14 Zoll;1.920 x 1.080 Pixel;;Full-HD;35.56 cm;14 Zoll;16:9;IPS (In-Plane Switching);;LPDDR4X;16 GB;;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.40 GHz;4;8;4.20 GHz;;;;;;;;Intel Cache;;8 MB;Integrated SOC;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-17-cn0144ng-notebook-mit-173-zoll-display-prozessor-16-gb-ram-1-tb-ssd-iris-xe-schwarz-101186485.html
";"HP 17-cn0144ng, Notebook mit 17,3 Zoll Display, Prozessor, 16 GB RAM, 1 TB SSD, Iris Xe, Schwarz
Produkt bewerten| Art.-Nr. 101186485 | HP";829.–;43.94 cm / 17.3 Zoll;1920 x 1080;;Full-HD;43.94 cm;17.3 Zoll;;IPS (In-Plane Switching);;LPDDR4;16 GB;;Core™ i5;Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;8;4.2 GHz;;;Iris Xe;Intel;SSD , 1 TB;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_asus-fx506hc-hn115w-gaming-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-nvidia-geforce-rtx-3050-eclipse-gray-2809412.html
";"ASUS FX506HC-HN115W, Gaming Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Eclipse Gray
Produkt bewerten| Art.-Nr. 2809412 | ASUS";899.;39.6 cm / 15.6 Zoll;1920 x 1080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;16:9;IPS (In-Plane Switching);Bildwiederholrate 144 Hz;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-11400H-Prozessor 12 MB Cache, bis zu 4,50 GHz;Intel®;Core™ i5;i5-11400H;2.7 GHz;6;;4.5 GHz;250 cd/m²;;NVIDIA GeForce RTX 3050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-pro-9-2-in-1-tablet-mit-13-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-256-gb-ssd-intelr-irisr-xe-grafik-graphit-2837626.html
";"MICROSOFT Surface Pro 9, 2-in-1 Tablet mit 13 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® Iris® Xe-Grafik , Graphit
5.0 (1)| Art.-Nr. 2837626 | MICROSOFT";1179.–;33.02 cm / 13 Zoll;2880 x 1920 Pixel;;;33.02 cm;13 Zoll;3:2;;;LPDDR5;8 GB;;Intel® Core™ i5-1235U Prozessor der 12. Generation;Intel®;Core™ i5;i5-1235U;3.3 GHz;;;4.4 GHz;;;Intel® Iris® Xe-Grafik;Intel;SSD , 256 GB;SSD;;;;;Intel® Core™ i5-1235U Prozessor der 12. Generation;;256 GB;256 GB;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_huawei-matebook-d16-notebook-mit-16-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-uhd-graphics-space-gray-2808904.html
";"HUAWEI Matebook D16, Notebook mit 16 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, UHD Grafik, Space Gray
5.0 (2)| Art.-Nr. 2808904 | HUAWEI";799.–;40.64 cm / 16 Zoll;1920 x 1200 Pixel;;;40.64 cm;16 Zoll;16:10;IPS (In-Plane Switching);Kontrastverhältnis 1200:1, 4.6 mm schmaler Rahmen, 90 % Screen to Body Ratio;LPDDR4;16 GB;1x 16 GB;Intel® Core™ i5-12450H Prozessor 12 MB Cache, bis zu 4,40 GHz;Intel®;Core™ i5;i5-12450H;3.3 GHz;;;4.4 GHz;300 cd/m²;;;;;;IPS;;;;;;512 GB;;1200:1;;;;;;;;;;;;;;;;;;
