;title;ort;bei;gebiet;start;job-nr;stellenbeschreibung;aufgabe;profil
"https://db.jobs/de-de/Suche/Berater-in-Datenstrategie-7683910?resultCount=608
";Berater:in Datenstrategie;Jürgen-Ponto-Platz, 60329 Frankfurt (Main);Startdatum: ab sofort;DB Systel GmbH;Informatik;Job-Nr.: 133812;Wir im Team Data Strategy erstellen und koordinieren mit großer Leidenschaft umfassende Datenstrategien gemeinsam mit unseren Kund:innen. Auf Basis der Strategien der Geschäftsfelder und Bereiche erarbeiten wir gemeinsam ganzheitliche Strategien mit den Schwerpunkten Datenmanagement, Datenarchitektur und Data Governance und unterstützen bei der Umsetzung der daraus resultierenden Maßnahmen.;Du analysierst das Geschäft unserer konzerninternen Kund:innen und verstehst ihre Ziele, Geschäftsprozesse und Daten. Gemeinsam mit Kund:innen entwickelst und verantwortest du die zukünftige Ausrichtung datengetriebener Usecases. Dabei greifst du auf dein Wissen zu aktuellen Technologien und IT-Architekturen zurück und wendest es auch an. Du entwickelst und verantwortest komplexe Informations- und Datenstrategien für mehrere Konzernbereiche und Geschäftsfelder. In der Analyse setzt du verschiedene Methoden ein und konzipierst die notwendigen Strukturen unter Berücksichtigung der Datenstrategie des Konzerns. Du präsentierst deine Arbeitsergebnisse intern und extern auf allen Managementebenen. Du betreibst Stakeholdermanagement auf allen Ebenen und führst Innovations- und Anforderungsworkshops mit Fachbereichen und Management durch;Basis deines Werdegangs ist ein abgeschlossenes (Fach)Hochschulstudium der (Wirtschafts)Informatik oder eine vergleichbare Qualifikation mit mehrjähriger Berufserfahrung. Außerdem verfügst du über mehrjährige Berufserfahrung in der Analyse und Optimierung von Geschäftsprozessen und bist Experte in der Beratung rund um strategische Themen wie Data Governance und Data Strategy. Du hast Erfahrung in der Konzeption und Entwicklung von Architekturen rund um die Themen Business Intelligence, Big Data und Analytics. Dein sicheres Auftreten bis auf Top-Managementebene, ein ausgeprägtes Verhandlungsgeschick und Konfliktfähigkeit zeichnen dich aus. Du beherrschst klassische wie agile Projektmanagementmethoden und bist Experte in Präsentations- und Moderationsmethoden. Fließende Deutsch- und Englischkenntnisse runden dein Profil ab
"https://db.jobs/de-de/Suche/Referent-in-I-IT-Management-HR-Systeme-Data-Integration-w-m-d-7664178?resultCount=608
";Senior Business Engineer:in - HR Data Integration (w/m/d);Karlstr. 6, 60329 Frankfurt (Main) + 1;Startdatum: ab sofort;Deutsche Bahn AG;Personal, Informatik;Job-Nr.: 131905;Zum nächstmöglichen Zeitpunkt suchen wir dich als Senior Business Engineer:in - HR Data Integration (w/m/d) für den DB Personalservice am Standort Frankfurt (Main) oder Nürnberg.;"Als Teil des Teams „HR Data Integration Services"" nimmst du die Anforderungen der Integrationsspezialisten anderer interner und externer IT-Systeme auf und arbeitest eng mit unserem Anforderungsmanagement zusammen. Du konzipierst Datenintegrationen auf unserer HR Integrationsplattform. Die Umsetzung der Anforderungen an die HR Integrationsplattform stimmst du mit unserem internen IT-Dienstleister:innen ab und bereitest die Produktionsfreigabe vor. Zu deinen Aufgaben gehört die Begleitung unser Architekturteam bei der Beschreibung unser HR IT-Landschaft hinsichtlich ihrer Datenflüsse. Du unterstützt beim Aufbau und der Weiterentwicklung unseres HR-Datenmodells";"Basis deines Werdegangs ist ein erfolgreich abgeschlossenes Fach-/Hochschulstudium zum:zur Wirtschaftsinformatiker:in, Wirtschaftswissenschaftler:in, Wirtschaftsmathematiker:in oder eine vergleichbare Qualifikation mit mehrjähriger Berufserfahrung im Bereich Datenintegration oder Datenmodellierung. Du kennst dich mit der Nutzung moderner Datenintegrationsplattformen (z.B. mit Microsoft Azure oder AWS) aus und bringst du Kenntnisse zu modernen Integrationstechnologien, wie z.B. Swagger-API-Framework, RAML („RESTful API Modeling Language"") und Mikroservices mit. Dich zeichnet eine ausgeprägte Team- und Kommunikationsfähigkeit aus und dir fällt es leicht dich selbstständig zu strukturieren und in neue Themen und Umgebungen einzuarbeiten. Du besitzt ein überdurchschnittliches analytisches Verständnis und konzeptionelle Gestaltungskraft und kannst somit komplexe Zusammenhänge zwischen Geschäftsprozessen und der Welt der Daten erkennen und herstellen. Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift runden dein Profil ab"
"https://db.jobs/de-de/Suche/Spezialist-in-Strategie-und-Planung-Digitale-Schiene-Deutschland-9966968?resultCount=608
";Spezialist:in Strategie und Planung Digitale Schiene Deutschland (w/m/d);Stresemannstraße, 10963 Berlin;Startdatum: ab sofort;DB Netz AG;Verkehrsinfrastruktur, Informatik, Kaufmännische Berufe, Projektmanagement, Ingenieurwesen;Job-Nr.: 164429;Zum nächstmöglichen Zeitpunkt suchen wir dich als Spezialist:in Strategie und Planung Digitale Schiene Deutschland (w/m/d) für die DB Netz AG am Standort Berlin oder Frankfurt (Main).;Du steuerst und arbeitest inhaltlich an Themen der strategischen Rolloutplanung, u.a. der Erarbeitung von Rolloutprämissen und -kriterien für die Umrüstung. Darüber hinaus entwickelst du innovative Konzepte im Rahmen der Rolloutplanung DSD, u.a. für die methodische und inhaltliche Weiterentwicklung der Rolloutplanung oder die Ermittlung von Synergien und Effizienzen zwischen den DSD-Projektbeteiligten. Du leitest fachliche Inputs aus der strategischen Feinkonzeption ab und stellst diese in Form von Handlungsempfehlungen den verschiedenen Ansprechpartner:innen zur Verfügung (z.B. Pakete für Finanzierungsverhandlungen mit dem Bund, Empfehlungen für die strategische Planung, Schwerpunkte für die Technologieentwicklung). Die Themen der strategischen Rolloutplanung stimmst du mit einem breiten Feld an internen und externen Stakeholdern ab, insbesondere mit dem Bund sowie dem Eisenbahnsektor. Du steuerst die inhaltliche Vorbereitung und Erstellung von Vorlagen, Analysen und Stellungnahmen und der anschließenden Abstimmung mit den Beteiligten;Du hast ein erfolgreich abgeschlossenes Studium im Bereich Volkswirtschaftslehre, Wirtschaftswissenschaften, Wirtschaftsingenieurwesen oder eine vergleichbare Qualifikation. Darüber hinaus verfügst du über Erfahrung in der Strategie- oder Unternehmens-/Managementberatung und mit Themen im politischen Umfeld wie dem Bund, dem Eisenbahnsektor sowie Gremien auf Top-Managementniveau. Idealerweise hast du bereits Berufserfahrung und Kenntnisse im Bereich der öffentlichen Finanzierung und strategischen Verkehrsplanung. Du hast ein hohes Interesse am System Eisenbahn und bist bereit dich auch in technische Sachverhalte einzuarbeiten. Du trägst gerne Verantwortung, bist zielstrebig wie kommunikationsstark und löst Konflikte mit hohem Einfühlungs- und Durchsetzungsvermögen
"https://db.jobs/de-de/Suche/Senior-Berater-Digital-Consulting-SAP-Materialwirtschaft-w-m--7023496?resultCount=608
";Senior Berater Digital Consulting SAP – Materialwirtschaft (w/m/d);Jürgen-Ponto-Platz 1, 60329 Frankfurt (Main);Startdatum: ab sofort;DB Systel GmbH;Informatik, Projektmanagement;Job-Nr.: 117231;"Wir sind als Einheit „Digital Consulting - Business Experts“ ein Start-Up in der DB Systel und arbeiten an interessanten Projekten an der Schnittstelle zw. IT und Business, um gezielt die Digitalisierung der Deutschen Bahn aktiv mitzugestalten.

Bei uns agierst Du in agilen, selbstorganisierten Netzwerkstrukturen mit entsprechendem Gestaltungsspielraum. Wir setzen auf eigenverantwortliche, motivierte Macher, die persönlich und gemeinsam wachsen wollen.

Zum nächstmöglichen Zeitpunkt suchen wir Dich als Senior Beraterin Digital Consulting SAP – Materialwirtschaft für die DB Systel GmbH am Standort Frankfurt am Main oder Berlin.

Deine Aufgaben: 

Du verstehst dich als Unternehmer, akquirierst und erweiterst (Neu-)Geschäft für die DB Systel in Form von Beratungsaufträgen bei unseren konzerninternen Kunden
In deiner Rolle als Inhouse Beraterin erstellst du Konzepte, optimierst die Geschäftsprozesse unserer Kunden und entwickelst strategische Lösungen für die Gestaltung von Digitalisierungsmaßnahmen in Verbindung mit SAP (Fokus Materialmanagement)
Weiterhin stellst du sicher, dass die funktionale Architektur des SAP-Systems mit der technischen Umsetzung im System übereinstimmt und dies unter Beachtung der langfristigen Wartbarkeit
Du berätst interne Kunden auf Konzern bzw. Geschäftsfeldebene im Rahmen der übergreifenden Standardisierung und Harmonisierung von Geschäftsprozessen und der Einführung von verschiedenen SAP Modulen wie z.B. WM/EWM
Du steuerst übergreifende interdisziplinäre Teams, koordinierst die Zusammenarbeit mit konzerninternen und externen Beteiligten und präsentierst Arbeitsergebnisse bis auf Managementebene des Kunden Dabei arbeitest
Du in enger Abstimmung zusammen mit den DB Systel Account Teams und Experten aus dem Bereich SAP";Du verstehst dich als Unternehmer, akquirierst und erweiterst (Neu-)Geschäft für die DB Systel in Form von Beratungsaufträgen bei unseren konzerninternen Kunden. In deiner Rolle als Inhouse Beraterin erstellst du Konzepte, optimierst die Geschäftsprozesse unserer Kunden und entwickelst strategische Lösungen für die Gestaltung von Digitalisierungsmaßnahmen in Verbindung mit SAP (Fokus Materialmanagement). Weiterhin stellst du sicher, dass die funktionale Architektur des SAP-Systems mit der technischen Umsetzung im System übereinstimmt und dies unter Beachtung der langfristigen Wartbarkeit. Du berätst interne Kunden auf Konzern bzw. Geschäftsfeldebene im Rahmen der übergreifenden Standardisierung und Harmonisierung von Geschäftsprozessen und der Einführung von verschiedenen SAP Modulen wie z.B. WM/EWM. Du steuerst übergreifende interdisziplinäre Teams, koordinierst die Zusammenarbeit mit konzerninternen und externen Beteiligten und präsentierst Arbeitsergebnisse bis auf Managementebene des Kunden Dabei arbeitest. Du in enger Abstimmung zusammen mit den DB Systel Account Teams und Experten aus dem Bereich SAP;Du verfügst über ein erfolgreich abgeschlossenes wirtschaftswissenschaftliches oder technisches Studium. Du hast mehrjährige (6 Jahre) einschlägige Erfahrung in der Strategie, Business- oder Prozessberatung im Bereich Digitalisierung bzw. SAP. Tiefgehende Erfahrung in SAP-Projekten in den Logistikmodulen PM, PP, MM (gerne mit Customizing-Erfahrung) und mit den dazugehörenden Prozessen sind von Vorteil. Du beherrschst klassische sowie agile Projektmanagement-Methoden und bist in der Lage, diese beim Kunden mit Präsentations- und Moderationsmethoden anzuwenden. Fundierte Kenntnisse in einem SAP Bereich bzw. Modul, insbesondere Instandhaltung sowie mehrjährige Projekterfahrung in SAP-Umsetzungsprojekten und/oder Berufs- bzw. Beratungserfahrung sowie Kenntnisse im Customizing kannst Du ebenfalls vorweisen. Du hast ausgeprägte analytische und konzeptionelle Fähigkeiten, arbeitest strukturiert, eigenverantwortlich und zeigst Kreativität. Als Teamplayer bist Du kommunikationsstark und fokussierst Dich auf den Kundennutzen. Reisebereitschaft rundet Dein Profil ab
"https://db.jobs/de-de/Suche/Senior-Technical-Engineer-w-m-d--9973516?resultCount=608
";Senior Technical Engineer (w/m/d);Wo Du Willst-Job;Startdatum: ab sofort;DB Netz AG;Informatik;Job-Nr.: 168500;Zum nächstmöglichen Zeitpunkt suchen wir dich als Senior Technical Engineer (w/m/d) für die DB Netz AG am Standort Berlin, Frankfurt (Main), Hannover oder Leipzig.;Als Senior Technical Engineer bist du als Vertreter:in des CIO Bereichs der DB Netz AG an der Schnittstelle zwischen dem Bedarfsträger Betrieb und dem IT Dienstleister tätig. Gemäß des einheitlichen Prozessmodells (EPM) und der geltenden Konzernrichtlinien bist du für die Weiterentwicklung des zugeordneten Plattformbereiches (IT-Infrastruktur, Verfügbarkeit oder Fachanwendungen) der Testanlagen verantwortlich. Du bist verantwortlich für die Bereitstellung eines 2nd und 3rd Level Supports unter Einhaltung der Budgetvorgaben und kümmerst dich um entsprechende Abweichungen in diesem Kontext. Die zeit- und bedarfsgerechte Bereitstellung von Umgebungen für Entwicklung und Test in den Entwicklungs- und Testumgebungen der Informationssysteme Eisenbahnbetrieb für den zugeordneten Plattformbereich werden federführend durch dich sichergestellt. Du stehst als Expert:in und Hauptansprechpartner:in bezogen auf die Implementierung, Integration und das Zusammenwirken der Komponenten des zugeordneten Plattformbereiches zur Verfügung. Außerdem stimmst du dich eng mit den Enterprise- und Solution Architekt:innen sowie der technischen Betriebsführung der Produktivanlagen zu technischen Änderungsnotwendigkeiten ab und verantwortest deren Umsetzungen;Basis deines Werdegangs ist ein erfolgreich abgeschlossenes Fach-/Hochschulstudium der (Wirtschafts-) Informatik oder hast einen vergleichbaren Abschluss mit relevanter Berufserfahrung. Du hast fundierte Berufserfahrung als Technical Engineer oder Umgebungsmanager im IT Umfeld sammeln können. Weiterhin kennt du dich tief im Bereich Implementierungen im Plattformbereich aus und hast mehrfach mit Test- und Entwicklungsumgebungen gearbeitet. Zudem konntest du vertiefte Erfahrungen mit Datenbanken (wie Oracle) sammeln und besitzt gute Programmierkenntnisse wie z.B. in C++ oder Java. Deine Kommunikationsstärke, Teamfähigkeit und aufgeschlossene Art zeichnen dich aus. Komplexe Sachverhalte, auf das Wesentliche zu reduzieren und Reisebereitschaft runden dein Profil ab
"https://db.jobs/de-de/Suche/Senior-Manager-Innovation-and-Transformation-w-m-d--8162164?resultCount=608
";Senior Manager Innovation and Transformation (w/m/d);Wo Du Willst-Job;Startdatum: ab sofort;DB Cargo AG;Informatik, Kaufmännische Berufe, Logistik, Projektmanagement;Job-Nr.: 140257;Zum nächstmöglichen Zeitpunkt suchen wir Dich als Senior Manager Innovation and Transformation für die DB Cargo AG am Standort Berlin oder Frankfurt (Main). Stell‘ Dich der Herausforderung und werde Teil eines leidenschaftlich engagierten und dynamischen Teams im Bereich IT and Digitalization (CIO/CDO) der DB Cargo AG. Wir möchten 25 Millionen Lkw von der Straße holen und den Marktanteil der Schiene auf 25 Prozent steigern – kurz gesagt: die umweltfreundliche Schiene zur ersten Wahl im Güterverkehr machen. Wie wir die Verkehrswende, die für die Einhaltung der Klimaziele der Bundesregierung notwendig ist, schaffen? Mit wirksamer IT und Digitalisierung! Wir suchen eine fachlich, persönlich überzeugende und innovative Führungskraft wie Dich. DB Cargo - Wir sind Güter.;Du bist Teil der Entwicklung und Umsetzung einer Ökosystemstrategie, um die Unique Value Proposition (USP) von einzelnen Ökosystemteilnehmern zu nutzen, sodass die DB Cargo sich über sein Ökosystem hebeln kann. Dadurch Reduzierung der Time-2-Market und Optimierung der CAPEX Ressourcen. Dabei liegt Dein Fokus auf der Entwicklung und Umsetzung eines Innovationsprozesses für digitale Lösungen, um gezielt Innovationen (bspw. Cloud, KI, Quantum Computing etc.) für die DB Cargo nutzbar zu machen, um so langfristig die Effizienz der DB Cargo zu steigern. Du treibst aktiv den Aufsatz und die Pflege eines Partnernetzwerks (wenige Akteure) innerhalb des Ökosystems (viele Akteure) voran, um Anstrengungen gezielt mit Partnern anzugehen und die Strategien firmenübergreifend abzustimmen. Um die IT-Organisation schlagkräftiger zu machen, treibst Du organisatorische Veränderungen an;Erfolgreich abgeschlossenes Hoch- bzw. Fachhochschulstudium, sowie langjährige Berufserfahrung in der IT mit Projektmanagement- bzw. Führungserfahrungen (klassisch sowie agil). Breit gefächertes IT-Know-How und hohe Affinität zu modernen IT-Konzepten im Bereich Cloudservices, KI und / oder anderen Service Konzepten. Aktiv gestaltende und unternehmerisch handelnde Persönlichkeit mit einem hohen Qualitätsbewusstsein, außerordentlicher Eigenverantwortlichkeit und Leistungsbereitschaft. Hohe Durchsetzungs-, Kommunikationsfähigkeit und gutes Konfliktmanagement verbunden mit Empathie und Menschenkenntnis. Sehr gute Deutsch- und Englischkenntnisse runden Dein Profil ab
"https://db.jobs/de-de/Suche/SAP-Entwickler-in-ABAP-und-Fiori-7281012?resultCount=608
";SAP Entwickler:in ABAP und Fiori;Weilburgerstr 28, 60326 Frankfurt (Main);Startdatum: ab sofort;DB Systel GmbH;Informatik;Job-Nr.: 121147;Wir im Team aSAPx, Agile SAP Experts Infrastructure Solutions, gestalten das Geschäft unserer konzerninternen Kund:innen im Wandel der Digitalisierung im Bereich Instandhaltung und Logistik. Wir beraten sie bezüglich der Optimierung und Gestaltung ihrer Geschäftsprozesse und implementieren Lösungen im SAP-Umfeld unter Verwendung moderner Entwicklungstools. Unser Team ist für die Wartung und Weiterentwicklung des SAP-Systems für die Baulogistik der DB Netz verantwortlich. Zusätzlich betreuen wir weitere Kund:innen und sind in Konzernprogrammen rund um SAP tätig. Wir zeichnen uns durch ein agiles Mindset aus und arbeiten in einem interdisziplinären Team aus Beratern und Entwicklern rund um SAP. Jeder in unserem Team beteiligt sich aktiv an der Gestaltung und Weiterentwicklung unseres Teams. Zur Verstärkung unseres Teams am Standort Frankfurt suchen wir dich für die DB Systel als SAP Entwickler:in ABAP und Fiori (w/m/d) .;"Du übernimmst für unsere Konzernkund:innen die Optimierung ihres SAP-Systems für den Bereich Instandhaltung und Logistik. Gemeinsam mit unseren SAP Berater:inen und Entwickler:innen erarbeitest du technische Lösungen zur Umsetzung der fachlichen Anforderungen unserer Kund:innen; dabei berücksichtigst du vorhandene Strukturen und Schnittstellen, bringst aber auch deine eigenen Ideen zur Verbesserung und Vereinfachung des Vorhandenen mit ein. Bei der Umsetzung der an dich herangetragenen Anforderungen arbeitest du nach der bei uns definierten agilen Vorgehensweise und stellst sicher, dass die funktionalen Anforderungen im SAP System vollumfänglich umgesetzt sind. Zudem gehört die Qualitätssicherung der erstellten Softwarelösungen zu deinem Aufgabenbereich. Hinsichtlich der technischen Optimierung bestehender Systeme bringst du neue Ideen ein. Auch den Einsatz neuer Produkte bei der Umsetzung technischer Anforderungen treibst du voran";Du bringst ein abgeschlossenes (Fach)Hochschulstudium in einem technisch / naturwissenschaftlichem Bereich oder eine vergleichbare Qualifikation aus dem IT-Projektumfeld mit. Als ABAP Entwickler hast du mehrere Jahre Erfahrung gesammelt - zudem kennst du dich mit UI Technologien wie WebDynpro ABAP und SAP Fiori aus und Smartforms und SAP Scripts sind dir bereits bekannt. Du interessierst dich für Kundeneigene SAP Entwicklungen und bist bereit dich in bei uns eingesetzten Technologien, z.B. BOPF, FPM, BRF+ einzuarbeiten. Deine strukturierte und eigenverantwortliche Arbeitsweise zeichnen dich aus. Außerdem übernimmst du gerne Verantwortung, zeigst Kreativität und Gestaltungswillen. Du hinterfragst vorhandene Strukturen und auch an dich gestellte Anforderungen auf ihre Umsetzbarkeit, bevor du an die Implementierung gehst. Deine Kenntnisse bei den SAP Technologien entwickelst du kontinuierlich weiter. Du arbeitest gerne in interdisziplinären Teams. Für die Zusammenarbeit mit unserem global Delivery Team verfügst du über fließende Deutsch- und Englischkenntnisse
"https://db.jobs/de-de/Suche/Softwaretester-Technischer-Test-w-m-d--7582808?resultCount=608
";Softwaretester Technischer Test (w/m/d);Lindemannallee 3, 30173 Hannover + 2;Startdatum: ab sofort;DB Netz AG;Informatik;Job-Nr.: 125908;Zum nächstmöglichen Zeitpunkt suchen wir Dich als Softwaretester Technischer Test für die DB Netz AG in Frankfurt am Main, Leipzig oder Hannover. Mobiles Arbeiten ist an bis zu drei Tagen pro Woche denkbar. Die Stelle kann in Vollzeit oder in Teilzeit besetzt werden.;Die Tests werden von Dir koordiniert und die Qualität der Tests wird von Dir sichergestellt. In Deiner Verantwortung liegt der Aufbau der Testautomatisierung für technische Tests (Smoketests und Schnittstellentests). Du dokumentierst die Ergebnisse der Tests gewissenhaft und reportest sie an die Projektleitung, einschließlich der Projektrisiken. Beim Dienstleistermanagement bist Du mit beteiligt, durch Bestellungen und Vergabe von Aufgaben und Prüfen, ob die SLAs eingehalten werden. Ein Teil Deiner Tätigkeit umfasst die Terminplanungen für Rollouts. Dein technisches Know-how hilft Dir, wenn Du bei der Einrichtung und dem Betrieb von Servern, Datenbanken und Schnittstellen unterstützt;Basis Deines Werdegangs ist ein erfolgreich abgeschlossenes Fach-/Hochschulstudium zum Informatiker, Fachinformatiker oder hast eine vergleichbare Ausbildung erfolgreich abgeschlossen mit mehrjähriger relevanter Berufserfahrung. Du hast bereits erste Jahre Berufserfahrung im Konzipieren von technischen Tests im Projektumfeld, idealerweise in einer größeren Firma. Idealerweise bist Du ISTQB-zertifiziert und hast Arbeitserfahrung im agilen Umfeld. Weiterhin bist Du erfahren in der Skript-Programmierung (Linux bash, Windows PowerShell, Python). Mit RedHat, Enterprise Linux, Active Directory, TIBCO, Maven/Ant/Make/Gradle und Jenkins hast Du bereits gearbeitet. Du bist interessiert an Neuem und hast eine schnelle Auffassungsgabe, v.a. im Hinblick auf das Verstehen von technischen Zusammenhängen. Abschließend bist Du teamfähig und kommunizierst proaktiv auf Deutsch (C2), weiterhin bringst Du erweiterte Englischkenntnisse mit (B1)
"https://db.jobs/de-de/Suche/Senior-Application-Manager-in-8967714?resultCount=608
";Senior Application Manager:in;Wo Du Willst-Job;Startdatum: ab sofort;DB Systel GmbH;Informatik;Job-Nr.: 145470;Zum nächstmöglichen Zeitpunkt suchen wir dich als Senior Application Manager:in (w/m/d) für die DB Systel GmbH am Standort Berlin, Erfurt oder Frankfurt (Main).;Du verantwortest den Betrieb und die Weiterentwicklung für unsere sehr anspruchsvollen und vielschichtigen Applikationen und unserer Cloud-Infrastruktur. Dabei stellst du ein proaktives und vorbeugendes Störungsmanagement inklusive der Initiierung von entsprechender Maßnahmen sicher. Du bist Bindeglied zu unseren internen und externen Partner:innen (inkl. Managementebene) für alle Themen, die im Zusammenhang mit technischen und kaufmännischen Optimierungspotentialen stehen. Die Konzeptionierung sowie die Dokumentation von anspruchsvollen und individuellen Lösungen, angepasst auf die Bedürfnisse unserer Partner:innen, gehört ebenfalls zu deinen Aufgaben;Du bringst ein erfolgreich abgeschlossenes Fach-/Hochschulstudium als (Wirtschafts-) Informatiker:in, Mathematiker:in oder eine ähnliche Fachrichtung bzw. eine vergleichbare Qualifikation mit. Du verfügst du über ausgeprägtes Linuxwissen und Kenntnisse in den entsprechenden Skriptsprachen (z.B. Bash, Python), AWS Cloud Grundkenntnisse sowie idealerweise Siebel und Oracle Analytics Grundkenntnisse. Deine technologischen Fähigkeiten werden abgerundet von Kenntnissen und Erfahrungen im Betrieb von hochverfügbaren IT-Applikationen. Du hast Freude daran im Team zu arbeiten und dein Fachwissen aktiv einzubringen. Die Bereitschaft zur Teilnahme an der teaminternen Rufbereitschaft solltest du mitbringen
"https://db.jobs/de-de/Suche/Senior-Service-Delivery-Manager-in-9992070?resultCount=608
";Senior Service Delivery Manager:in;Europa-Allee 78-84, 60486 Frankfurt (Main);Startdatum: ab sofort;DB Fernverkehr AG;Informatik;Job-Nr.: 162493;Zum nächstmöglichen Zeitpunkt suchen wir dich als Senior Delivery Manager:in mit Schwerpunkt IT Security für die DB Fernverkehr AG am Standort Frankfurt (Main).;Du verantwortest die Einhaltung der geltenden Sicherheitsrichtlinien für den Betrieb und die Weiterentwicklung der unternehmenskritischen Anwendungen zur Personalplanung und -disposition des Bordservice und der Triebfahrzeugführer. In dieser Funktion fungierst du als Schnittstelle zwischen IT, Business und dem CISO im Fernverkehr mit dem Ziel einen stabilen und sicheren Applikationsbetrieb zu gewährleisten. Du bist für die Planung und Steuerung sowie das Monitoring der Aktivitäten rund um die IT Security-Themen im Rahmen des Applikationsbetriebs wie z.B. PEN-Tests und Sicherheitsscans zuständig. Dabei verantwortest du die Einhaltung von Konzernvorgaben, wirkst bei regelmäßig anstehenden Prüfungen gemäß §8a BSIG mit und steuerst die Behebung der IT-Security-Findings. Du leitest erforderliche Maßnahmen aus den Konzernvorgaben ab und steuerst die Umsetzung dieser in deinen verantworteten Applikationen. Bestehende IT-Betriebsprozesse analysierst du und entwickelst diese entsprechend den Security-Aspekten weiter. Du begleitest Projekte bei der Einführung neuer Anwendungen aus Security-Sicht und bist Ansprechpartner für die Projektleiter;Basis deines Werdegangs ist ein erfolgreich abgeschlossenes Fach-/Hochschulstudium zum (Wirtschafts-) Informatiker oder eine vergleichbare Qualifikation. Erfahrungen auf dem Gebiet der Informationssicherheit und IT-Standards (ISO/IEC 27001) und dessen praktischer Anwendung bringst du mit. Du besitzt die Fähigkeit komplexe Themen in verständlicher Sprache darzustellen und zu vermitteln und bringst eine ausgeprägte Kundenorientierung mit, dabei stehst du deinen IT-Kollegen und Anwendern zur Seite. Darüber hinaus besitzt du gute Kenntnisse in ITIL und bringst praktische Erfahrung einer IT Service Delivery/Operations Funktion mit. Du überzeugst durch analytisches und strukturiertes Denken, eine ausgeprägte Kommunikations- und Konfliktfähigkeit runden dein Profil ab. Als Ansprechpartner bist du es gewohnt in einem Umfeld mit verschiedenen Stakeholdern zu agieren. Du verstehst es, dich schnell in komplexe IT-Systeme und Geschäftsprozesse einzuarbeiten
